Empresa,RUT,Sector,Planta,Region,Comuna,Proceso_Critico,Oportunidad_Control,Oportunidad_Instrumentacion,Oportunidad_Electrica,Pagina_Web,LinkedIn,Email,Sucursales
Alusa S.A.,90.297.000-2,Siderúrgica y Metalmecánica,Planta Envases Flexibles Santiago,Metropolitana,Quilicura,"Extrusión de películas de polímero, impresión por rotograbado a alta velocidad y laminación multicapa con adhesivos.",Control de tensión de film continuo mediante lazos PID rápidos; automatización de dosificadores gravimétricos por PLC.,Celdas de carga de rodillo tensor; medidores de espesor por infrarrojos; flujómetros para disolventes.,VFDs vectoriales de lazo cerrado para motores de impresión; sistemas de secado por aire caliente con resistencias eléctricas.,https://www.alusa.cl,https://www.linkedin.com/company/alusa-s.a./,ventas@alusa.cl,2
Wrought Copper Chile (WCC),76.120.450-5,Siderúrgica y Metalmecánica,Planta Extrusión de Cobre San Bernardo,Metropolitana,San Bernardo,"Fusión de cátodos de cobre y extrusión hidráulica para la fabricación de barras, perfiles y alambres de cobre de alta conductividad.",Control de la prensa hidráulica de extrusión mediante PLC HMI; control de temperatura del billet en el horno de precalentamiento.,Transmisores de presión hidráulica de alta dinámica; sensores de temperatura infrarrojos para cobre en movimiento.,Motores de bombas hidráulicas con VFD; tableros eléctricos de fuerza; bancos de condensadores para corregir factor de potencia.,https://www.wcc.cl,https://www.linkedin.com/company/wrought-copper-chile/,ventas@wcc.cl,1
Cementos Bío Bío S.A. (Cbb),91.755.000-K,"Cemento, Cal y Materiales",Planta Talcahuano Cbb,Biobío,Talcahuano,Calcinación de clínker en hornos rotatorios horizontales e inyección de carbón pulverizado; molienda final de cemento.,DCS para control de combustión en horno rotatorio; control multivariable y optimizador MPC para molinos de bolas.,Medidores de nivel por radar en silos de clínker; pirómetros infrarrojos de carcasa de horno; analizadores CEMS de chimenea.,Arrancadores suaves y VFDs para ventiladores de tiro inducido (ID Fan); motores síncronos de alta potencia.,https://www.cbb.cl,https://www.linkedin.com/company/cementos-bio-bio/,contacto@cbb.cl,20
Cementos Bío Bío S.A. (Cbb),91.755.000-K,"Cemento, Cal y Materiales",Planta Antofagasta Cal,Antofagasta,Antofagasta,Calcinación de caliza en hornos verticales a alta temperatura para la obtención de cal viva para la minería.,DCS de Planta para dosificación de piedra caliza y control de aire secundario en hornos de cuba.,Termocuplas multipunto en horno; celdas de carga para tolvas de dosificación pesada.,VFDs para ventiladores de aire comburente; celdas eléctricas integradas con bus de comunicación industrial.,https://www.cbb.cl,https://www.linkedin.com/company/cementos-bio-bio/,contactoantofagasta@cbb.cl,20
Cementos Bío Bío S.A. (Cbb),91.755.000-K,"Cemento, Cal y Materiales",Planta Copiapó Cemento,Atacama,Copiapó,"Molienda de clínker y aditivos, ensacado y despacho a granel de cemento especial.",Control automático de ensacadoras rotatorias mediante PLC; SCADA de monitoreo de despacho.,Transmisores de nivel ultrasónicos para silos; pesómetros de cinta de alimentación.,VFDs en transportadores helicoidales y elevadores de capachos; tableros de fuerza.,https://www.cbb.cl,https://www.linkedin.com/company/cementos-bio-bio/,contactocopiapo@cbb.cl,20
Cemento Melón S.A.,76.109.779-2,"Cemento, Cal y Materiales",Planta La Calera,Valparaíso,La Calera,Molienda de clínker en molinos de rodillos de alta presión (roller press) y dosificación exacta de yeso y puzolana.,Modernización de PLCs legacy de control de dosificación; SCADA de integración de ensacadoras y pallets.,Balanzas integradoras y pesómetros de cinta; sensores de vibración e inclinación para molinos.,Tableros de fuerza y motores de molino; variadores de frecuencia para balanzas alimentadoras.,https://www.melon.cl,https://www.linkedin.com/company/melon-sa/,contacto@melon.cl,30
Cemento Melón S.A.,76.109.779-2,"Cemento, Cal y Materiales",Planta Ventanas,Valparaíso,Puchuncaví,Molienda final de cemento a partir de clínker importado por vía marítima y despacho terrestre masivo.,SCADA de supervisión de molienda y control automático de cintas de transporte portuarias.,Medidores de flujo de aire comprimido para transporte neumático de cemento; medidores de nivel tipo radar.,CCMs (Centros de Control de Motores) inteligentes; variadores de frecuencia en cintas transportadoras.,https://www.melon.cl,https://www.linkedin.com/company/melon-sa/,contactoventanas@melon.cl,30
Cemento Melón S.A.,76.109.779-2,"Cemento, Cal y Materiales",Planta Puerto Montt,Los Lagos,Puerto Montt,"Recepción de clínker, molienda fina y ensacado para distribución en la zona sur de Chile.",Automatización local de envasadoras automáticas mediante PLCs compactos; SCADA de supervisión de planta.,Celdas de carga y sensores de peso dinámicos; interruptores de nivel alto en silos.,Variadores de velocidad para elevadores; tableros de distribución de fuerza de baja tensión.,https://www.melon.cl,https://www.linkedin.com/company/melon-sa/,contactopuertomontt@melon.cl,30
Cemento Polpaico S.A.,91.337.000-7,"Cemento, Cal y Materiales",Complejo Cerro Blanco,Metropolitana,Til Til,Calcinación de clínker en horno rotatorio largo con precalentador de ciclones e inyección de combustibles alternativos.,DCS para horno rotatorio y control predictivo de combustión; SIS para corte de quemadores por llama ausente.,Analizadores de gases de combustión en precalentador; radares de nivel de alta temperatura para tolvas de clínker.,VFDs de media tensión para el ventilador principal del horno; motores de accionamiento principal de horno.,https://www.polpaico.cl,https://www.linkedin.com/company/polpaico/,contacto@polpaico.cl,25
Cbb Cales S.A.,91.755.000-K,"Cemento, Cal y Materiales",Planta Cal Copiapó,Atacama,Copiapó,Calcinación e hidratación de cal de alta pureza en hornos rotatorios horizontales de cal.,DCS de control continuo de hornos de calcinación y control automático de hidratadoras por lotes.,Flujómetros de aire de combustión; sensores de temperatura del lecho del horno; detectores de monóxido de carbono.,VFDs para bombas hidráulicas y soplantes de aire; celdas de fuerza de baja y media tensión.,https://www.cbb.cl,https://www.linkedin.com/company/cementos-bio-bio/,cales.copiapo@cbb.cl,5
Vidrios Lirquén S.A.,90.687.000-2,"Cemento, Cal y Materiales",Planta Lirquén,Biobío,Penco,"Fabricación de vidrio plano mediante proceso Float, con horno de fusión a 1.600°C y baño de estaño líquido.",DCS continuo para control de combustión de horno Float; lazos cerrados de presión y tiro; automatización de corte mediante PLC.,Termocuplas de platino de alta resistencia; pirómetros infrarrojos de banda estrecha; caudalímetros Coriolis para gas.,Variadores de frecuencia para ventiladores; transformadores de distribución seca; UPS de potencia de respaldo.,https://www.vidrioslirquen.cl,https://www.linkedin.com/company/vidrios-lirquen-sa/,contacto@vidrioslirquen.cl,2
Cristalerías de Chile S.A.,90.331.000-6,"Cemento, Cal y Materiales",Planta Llay Llay,Valparaíso,Llay Llay,Fusión de vidrio en hornos de alta temperatura y moldeado soplado rápido en máquinas IS para botellas y envases.,DCS para control de temperatura del horno y alimentador (forehearth); automatización secuencial PLC de empujadores de botellas.,Pirómetros infrarrojos ópticos en canales de distribución; medidores de caudal de gas y aire comprimido de soplado.,VFDs para ventiladores de refrigeración de moldes; inversores de frecuencia para cintas transportadoras calientes.,https://www.cristaleriaschile.cl,https://www.linkedin.com/company/cristalerias-de-chile-s-a-/,contacto@cristalchile.cl,3
Knauf Chile Ltda.,76.012.355-2,"Cemento, Cal y Materiales",Planta Planchas de Yeso Puente Alto,Metropolitana,Puente Alto,"Mezclado de yeso, aditivos y agua, tendido entre láminas de papel y secado continuo en horno multietapa.",Sistemas de control PLC HMI para dosificación continua de yeso/aditivos; lazos de temperatura de secado multietapa en horno.,Medidores de flujo electromagnéticos sanitarios; sensores de humedad de plancha en línea; termocuplas de secador.,Motores con VFD en la cinta transportadora de conformado continuo y sopladores de calor del secador.,https://www.knauf.cl,https://www.linkedin.com/company/knauf-chile/,info@knauf.cl,2
Volcán S.A.,90.100.000-K,"Cemento, Cal y Materiales",Planta Fibrocemento y Lana de Vidrio Puente Alto,Metropolitana,Puente Alto,"Fusión de vidrio y arena para lana mineral de aislamiento, y mezcla/prensado de fibrocemento en autoclave.",DCS para horno de fusión de lana de vidrio; control automático de presión del autoclave de fibrocemento por PLC.,Transmisores de presión de vapor para autoclave; termómetros ópticos infrarrojos en horno de fusión.,VFDs para ventiladores de tiro de gases; arrancadores para compresores de aire de planta.,https://www.volcan.cl,https://www.linkedin.com/company/volcan-chile/,contacto@volcan.cl,4
Nestlé Chile S.A.,90.703.000-8,Alimentos y Bebidas,Planta Lácteos Osorno,Los Lagos,Osorno,"Pasteurización de leche, evaporación multietapa al vacío y secado en torre Spray para leche en polvo.",DCS de procesos Batch (S88); control automático de recetas e integraciones con ERP; secadores automatizados.,Sensores de conductividad y pH sanitarios para CIP; flujómetros electromagnéticos y Coriolis.,Variadores de frecuencia sanitarios; motores de alta eficiencia; CCMs inteligentes.,https://www.nestle.cl,https://www.linkedin.com/company/nestle/,contactoosorno@cl.nestle.com,8
Nestlé Chile S.A.,90.703.000-8,Alimentos y Bebidas,Planta Nutrición Infantil Teno,Maule,Teno,"Procesamiento estéril, mezcla en seco y envasado de fórmulas lácteas infantiles bajo atmósfera controlada.",DCS Batch con altos requisitos de trazabilidad; control de esterilización en línea; envasado robótico.,Transmisores de presión de vacío en envase; sensores higiénicos de temperatura de respuesta ultrarrápida.,Motores inoxidables IP69K; VFDs en redes de comunicación Ethernet/IP para dosificación fina.,https://www.nestle.cl,https://www.linkedin.com/company/nestle/,contactoteno@cl.nestle.com,8
Nestlé Chile S.A.,90.703.000-8,Alimentos y Bebidas,Fábrica de Café San Fernando,O'Higgins,San Fernando,Liofilización de extracto de café mediante congelación rápida y sublimación de hielo a alto vacío térmico.,DCS para secador liofilizador; automatización secuencial de las cámaras de vacío por PLC.,Transmisores de vacío pirani y capacitivos; termocuplas multipunto en bandejas de liofilización.,VFDs para compresores de frío de amoniaco de gran tamaño; tableros de distribución de fuerza.,https://www.nestle.cl,https://www.linkedin.com/company/nestle/,contactosanfernando@cl.nestle.com,8
Sugal Chile S.A.,96.953.940-3,Alimentos y Bebidas,Planta Talca,Maule,Talca,"Molienda de tomate, concentración térmica al vacío en evaporadores triples y pasteurización flash.",Control PID de temperatura en pasteurizadores; automatización CIP; control de nivel analógico en evaporador.,Flujómetros electromagnéticos sanitarios; medidores de presión de vacío diferencial.,VFDs para bombas de lodo y pulpa espesa; motores IP69K resistentes a lavados con agua a presión.,https://www.sugal-group.com,https://www.linkedin.com/company/sugal-chile/,contacto@sugal-group.com,2
Cooperativa Agrícola y Lechera de La Unión Ltda. (Colun),82.520.100-9,Alimentos y Bebidas,Planta Cruces (Leche),Los Ríos,La Unión,"Recepción de leche cruda, descremado, pasteurización rápida HTST y secado Spray continuo.",DCS redundante de proceso lácteo; recetas Batch S88; lazo de control de humedad de polvo.,Conductivímetros en retorno de CIP; medidores de caudal Coriolis para control de grasa láctea.,Arrancadores suaves y VFDs en bombas sanitarias; CCMs con comunicación Profinet integrada.,https://www.colun.cl,https://www.linkedin.com/company/colun/,contacto@colun.cl,13
Compañía de Cervecerías Unidas S.A. (CCU),90.413.000-1,Alimentos y Bebidas,Cervecería Quilicura,Metropolitana,Quilicura,"Maceración, filtrado de mosto, ebullición, fermentación en estanques cilindro-cónicos de gran tamaño.",DCS Batch de control de sala de cocción; control automático de perfiles de temperatura de fermentación; SIS para amoniaco.,Flujómetros electromagnéticos y masivos; sensores de nivel hidrostáticos en tanques de cerveza.,VFDs en bombas centrífugas de transferencia; tableros de distribución de fuerza principal.,https://www.ccu.cl,https://www.linkedin.com/company/ccu/,contactocerveceria@ccu.cl,12
Soprole S.A.,76.101.812-4,Alimentos y Bebidas,Planta Lácteos San Bernardo,Metropolitana,San Bernardo,"Pasteurización de alta velocidad, fermentación en estanques para yogurt y envasado en líneas multipack.",Control por DCS de recetas de yogurt y adición de fruta; automatización completa de salas de válvulas CIP.,Sensores de turbidez óptica y conductividad sanitaria; medidores de temperatura de alta sensibilidad.,Motores eficientes IP69K; VFDs vectoriales acoplados en bus de comunicación Ethernet/IP.,https://www.soprole.cl,https://www.linkedin.com/company/soprole/,contacto@soprole.cl,5
Agrosuper S.A.,76.129.263-3,Alimentos y Bebidas,Planta Procesadora Lo Miranda,O'Higgins,Doñihue,"Faenamiento automatizado de cerdos/aves, túneles de congelación rápida por amoniaco y empaque al vacío.",SCADA de supervisión de compresores de amoniaco; control automático por PLC de transportadores aéreos; SIS de amoniaco.,Medidores de flujo de amoniaco; sensores de temperatura en túneles de frío; detectores de gases tóxicos (NH3).,Arrancadores suaves de gran potencia en compresores; motores IP66 en líneas de lavado diario; VFDs.,https://www.agrosuper.cl,https://www.linkedin.com/company/agrosuper/,contacto@agrosuper.cl,10
Carozzi S.A.,96.591.040-9,Alimentos y Bebidas,Complejo Industrial Nos,Metropolitana,San Bernardo,"Molienda de trigo, extrusión de sémola para pastas alimenticias y secado térmico continuo.",Control por PLC de extrusoras de pastas con lazos de humedad y presión de extrusión; SCADA de silos de harina.,Celdas de carga y sensores de nivel por radar en silos; sensores de temperatura infrarrojos en secadores.,Motores de alto torque para extrusores con VFD; celdas eléctricas de distribución en baja tensión.,https://www.carozzi.cl,https://www.linkedin.com/company/carozzi-s-a-/,contactonos@carozzi.cl,5
Watt's S.A.,76.455.830-8,Alimentos y Bebidas,Planta San Bernardo,Metropolitana,San Bernardo,"Refinado e hidrogenación de aceites vegetales, batido continuo y envasado de margarinas y aceites embotellados.",DCS para reactores de hidrogenación continua; lazo PID para dosificación de catalizadores; SCADA de soplado de botellas PET.,Medidores Coriolis de caudal másico; transmisores de presión de alta seguridad en reactores; sensores de nivel.,VFDs para bombas de engranajes de aceites de alta viscosidad; tableros de transferencia; motores eficientes.,https://www.watts.cl,https://www.linkedin.com/company/watts-s.a./,contacto@watts.cl,6
Empresas Iansa S.A.,90.315.000-9,Alimentos y Bebidas,Planta Azucarera Chillán,Ñuble,Chillán,"Difusión de remolacha, purificación de jugo, evaporación múltiple efecto y centrifugación para la obtención de azúcar cristalizada.",DCS para evaporadores multietapa y tachos de cocción de azúcar; lazos de control de nivel y sobresaturación.,Transmisores de presión diferencial de vacío; medidores de densidad por conductividad o ultrasonido; caudalímetros.,VFDs para motores de centrífugas de azúcar; motores de picadores de remolacha; subestación eléctrica de planta.,https://www.empresasiansa.cl,https://www.linkedin.com/company/empresas-iansa/,contacto@iansa.cl,4
PF Alimentos (Productos Fernández S.A.),91.127.000-5,Alimentos y Bebidas,Planta Cecinas Talca,Maule,Talca,"Mezclado de carnes, embutido automático, cocción en hornos térmicos continuos y envasado en termoformadoras al vacío.",Control por PLC de temperatura y humedad en hornos de cocción y ahumado; SCADA de supervisión de compresores de frío amoniaco.,Sondas de temperatura tipo pincho para carne; sensores de humedad relativa; detectores de amoniaco en salas de máquinas.,VFDs para bombas de salmuera y mezcladoras; tableros de fuerza auxiliares; motores con protección IP69K.,https://www.pfalimentos.cl,https://www.linkedin.com/company/pf-alimentos/,contacto@pf.cl,8
Viña Concha y Toro S.A.,90.027.000-3,Alimentos y Bebidas,Planta Pirque,Metropolitana,Pirque,"Molienda de uva, fermentación controlada por temperatura de cubas y embotellado rápido estéril.",SCADA de supervisión térmica de cubas de acero inoxidable; control de lazo cerrado PLC de embotellado.,Termómetros sanitarios RTD en cubas; flujómetros magnéticos de agua de enfriamiento; sensores de nivel de cuba.,VFDs para bombas de vino y bombas de vacío de embotelladora; tableros de fuerza.,https://www.conchaytoro.com,https://www.linkedin.com/company/vina-concha-y-toro/,contacto@conchaytoro.cl,10
Enaex S.A.,90.266.000-3,"Química, Petroquímica y Gases",Complejo Químico Prillex América,Antofagasta,Mejillones,Síntesis catalítica de ácido nítrico y neutralización con amoniaco para nitrato de amonio líquido; torre de perlado.,DCS continuo de reactores exotérmicos; SIS certificado SIL3 triple redundante (ESD) para parada de emergencia.,Transmisores de presión y temperatura Ex de seguridad intrínseca; detectores fijos de amoniaco en aire.,Sistemas de UPS industriales redundantes; tableros eléctricos NEMA a prueba de explosión; motores XP.,https://www.enaex.com,https://www.linkedin.com/company/enaex/,contacto@enaex.com,7
Oxiquim S.A.,80.326.500-3,"Química, Petroquímica y Gases",Terminal Escuadrón,Biobío,Coronel,Fabricación de formaldehído y resinas fenólicas/urea en reactores Batch encamisados; bombeo a estanques de despacho.,DCS para reactores por lotes; SCADA HMI con pantallas de seguridad integradas; control PID de temperatura.,Sensores multipunto de temperatura en reactores; radares de nivel guiado para estanques de inflamables.,Motores A Prueba de Explosión (XP); barreras de seguridad intrínseca; tableros neumáticos e instrumentales.,https://www.oxiquim.com,https://www.linkedin.com/company/oxiquim-s.a./,contacto@oxiquim.com,5
Oxiquim S.A.,80.326.500-3,"Química, Petroquímica y Gases",Terminal Quintero,Valparaíso,Quintero,"Almacenamiento marítimo, descarga criogénica y despacho por bombeo a alta presión de combustibles licuados y productos químicos.",SIS (Fuego y Gas) para terminales marítimos; SCADA de supervisión de brazos de carga y bombas de oleoducto.,Medidores de nivel de alta precisión tipo radar sin contacto; sensores térmicos criogénicos en tuberías de gas.,Motores XP para bombas de gran capacidad; tableros eléctricos de media y baja tensión estancos.,https://www.oxiquim.com,https://www.linkedin.com/company/oxiquim-s.a./,contactoquintero@oxiquim.com,5
Dow Química Chile S.A.,92.879.000-2,"Química, Petroquímica y Gases",Planta Talcahuano Dow,Biobío,Talcahuano,Polimerización de monómeros de estireno y butadieno para la producción de resinas plásticas industriales.,DCS para reactores de polimerización continuos; SIS para corte rápido de alimentación de reactivos químicos.,Medidores de flujo Coriolis de químicos corrosivos; transmisores de presión diferencial de alta precisión.,Variadores de velocidad para agitadores de reactores; tableros eléctricos e instrumentales en zonas Ex.,https://www.dow.com,https://www.linkedin.com/company/dow-chemical/,contacto@dow.com,2
Petroquim S.A.,78.021.560-7,"Química, Petroquímica y Gases",Planta Polipropileno Talcahuano,Biobío,Talcahuano,Reactores de polimerización en fase gas para la síntesis de polipropileno de alta pureza.,DCS continuo de reactores químicos; SIS redundante SIL3; optimizadores de control multivariable.,Flujómetros ultrasónicos de gas propileno; medidores de temperatura de alta sensibilidad en reactor.,Variadores de frecuencia de media tensión para compresores de ciclo; motores con certificación Ex.,https://www.petroquim.cl,https://www.linkedin.com/company/petroquim-s-a-/,ventas@petroquim.cl,2
Empresa Nacional del Petróleo (ENAP),92.604.000-6,"Química, Petroquímica y Gases",Refinería Aconcagua,Valparaíso,Concón,"Refinación continua de petróleo crudo, destilación atmosférica y craqueo catalítico para combustibles.",DCS de gran escala para unidades de refinación; SIS SIL3 triple modular (TMR) para sistemas de seguridad y quemadores.,Transmisores de presión y temperatura Ex i de alta confiabilidad; analizadores de gases en línea en chimeneas.,Sistemas de UPS redundantes; motores de media tensión con variadores; subestaciones eléctricas integradas.,https://www.enap.cl,https://www.linkedin.com/company/enap/,contactoaconcagua@enap.cl,4
Empresa Nacional del Petróleo (ENAP),92.604.000-6,"Química, Petroquímica y Gases",Refinería Bío Bío,Biobío,Hualpén,"Procesamiento de hidrocarburos, reformado catalítico e hidrotratamiento de diésel para reducción de azufre.",DCS y SIS SIL3 para reactores de hidrotratamiento a alta temperatura y presión; SCADA central de tanques.,Transmisores de presión diferencial en columnas de destilación; radares en línea de alta precisión.,Celdas de media tensión con protecciones avanzadas; variadores de potencia para bombas de alimentación.,https://www.enap.cl,https://www.linkedin.com/company/enap/,contactobiobio@enap.cl,4
Methanex Chile S.A.,76.030.472-7,"Química, Petroquímica y Gases",Complejo Metanol Cabo Negro,Magallanes,Punta Arenas,Conversión catalítica continua de gas natural y vapor de agua en gas de síntesis y refinado continuo a metanol.,DCS de gran escala y SIS SIL3 redundante (ESD) para reactores químicos reformadores de vapor a gas.,Termocuplas multipunto Ex para reactores de síntesis; medidores Coriolis de alta presión de gas.,Turbogeneradores con reguladores de control de frecuencia; variadores de frecuencia en compresores.,https://www.methanex.com/chile,https://www.linkedin.com/company/methanex-corporation/,contactochile@methanex.com,2
BASF Chile S.A.,80.043.600-1,"Química, Petroquímica y Gases",Planta Concón Químicos,Valparaíso,Concón,"Producción de dispersiones acrílicas para adhesivos y pinturas, y formulaciones de aditivos para hormigón.",DCS Batch para control de reactores con perfiles de dosificación de monómeros; SCADA HMI local de mezcladoras.,Flujómetros magnéticos de reactivos corrosivos; termocuplas en reactores con camisas de control.,Motores eléctricos trifásicos eficientes con VFD en reactores agitados; celdas eléctricas estándar.,https://www.basf.com/cl,https://www.linkedin.com/company/basf/,info.chile@basf.com,3
Henkel Chile Ltda,78.803.490-3,"Química, Petroquímica y Gases",Planta Adhesivos Pudahuel,Metropolitana,Pudahuel,"Dispersión, emulsión y envasado de adhesivos industriales (marcas Agorex, Loctite) en reactores mezcladores Batch.",Control de mezclado y calentamiento por PLC redundante; SCADA HMI de control de recetas por lote.,Celdas de carga y balanzas para dosificación exacta de aditivos; sensores de temperatura e interruptores de nivel.,Variadores de velocidad para agitadores de palas de alta viscosidad; tableros eléctricos industriales.,https://www.henkel.cl,https://www.linkedin.com/company/henkel/,contacto@henkel.cl,2
Sociedad Química y Minera de Chile (SQM),93.007.000-9,"Química, Petroquímica y Gases",Planta Química Carmen de la Negra,Antofagasta,Antofagasta,"Purificación de salmuera de litio, cristalización de carbonato de litio y secado/molienda de hidróxido de litio grado batería.",DCS para reactores químicos continuos de precipitación y cristalizadores; lazos PID de temperatura de secado.,Medidores de pH y redox en reactores de purificación; analizadores de humedad de litio seco; celdas de carga.,Variadores de velocidad de motores de centrífugas de litio; motores eficientes; tableros de fuerza.,https://www.sqm.com,https://www.linkedin.com/company/sqm/,litio.negra@sqm.com,12
Sociedad Química y Minera de Chile (SQM),93.007.000-9,"Química, Petroquímica y Gases",Complejo Coya Sur,Antofagasta,María Elena,Conversión química de sales para la producción de nitrato de potasio soluble mediante cristalización masiva.,DCS de gran escala para control de cristalizadores y evaporadores solares; SCADA de molienda y secado.,Transmisores de presión diferencial en filtros; termocuplas de alta resistencia en hornos de secado.,Motores de bombas de transferencia de salmueras calientes con VFD; celdas de distribución eléctrica.,https://www.sqm.com,https://www.linkedin.com/company/sqm/,coyasur@sqm.com,12
