Categoria_CEN,Empresa,Sigla,RUT,Oportunidad_Comercial
Cliente Libre,AGUAS ANTOFAGASTA S.A.,AASA,90.055.798-1,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,AILIN FOTOVOLTAICA SPA,AILINFOT,76.741.685-7,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ALBA SPA,ALBA,76.951.572-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Transmisión,ALFA TRANSMISORA DE ENERGÍA S.A.,ATES,90.711.462-7,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,ALGARROBO SPA,ALGARROBO,76.451.078-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ALGORTA NORTE S.A.,ANSA,76.666.869-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ALTO CAUTÍN SPA,ALTOCAUT,76.771.437-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,ALTO MAIPO SPA,ALTOMAIP,90.542.073-9,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,AMANECER SOLAR SPA,AMANECER,76.644.182-3,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ANA MARÍA S.A.,AMSA,76.489.392-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ANDES GENERACIÓN SPA,ANDESGEN,76.107.458-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ANDES SOLAR II SPA,ASI,76.448.988-8,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ANDES SOLAR III SPA,ASI,76.047.942-K,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ANDES SOLAR IV SPA,ASI,76.335.173-4,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ANDES SOLAR SPA,ANDESSOL,76.864.821-2,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ANDINA SOLAR 1 SPA,AS1,76.790.924-1,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ANDINA SOLAR 10 SPA,AS1,76.393.070-K,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ANDINA SOLAR 13 SPA,AS1,76.275.414-2,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ANDINA SOLAR 17 ESTE SPA,AS1E,76.412.854-0,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ANDINA SOLAR 2 SPA,AS2,76.829.020-2,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ANDINA SOLAR 6 SPA,AS6,76.280.813-7,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Cliente Libre,ANGLO AMERICAN SUR S.A.,AASS,90.847.317-5,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,ANGOL SOLAR I SPA,ASI,76.214.689-4,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,ANTU ENERGY SPA,ANTUENER,76.945.841-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ANUMAR ENERGÍA DEL SOL 1 SPA,AES1,76.218.057-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,APOLO SOLAR SPA,APOLOSOL,76.676.913-6,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Cliente Libre,ARAUCO BIOENERGÍA SPA,ARAUCOBI,90.665.297-8,"DCS continuo para digestores kraft y calderas de cogeneración por biomasa, integración SAS"
Generación,ARCADIA GENERACIÓN SOLAR S.A.,AGSS,76.898.175-2,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,AS ENERGÍA LTDA.,ASENERG,76.463.867-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,ASESORÍAS G-51 SPA,AG5,76.671.212-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO,ACSC,90.681.276-2,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,ATACAMA SOLAR SPA,ATACAMAS,90.848.123-2,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,ATRIA ENERGÍA SPA,ATRIAENE,76.592.095-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,AURORA SOLAR SPA,AURORASO,76.214.128-0,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,AUSTRIANSOLAR CHILE CUATRO SPA,AUSTRIAN,76.029.361-K,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,AUSTRIANSOLAR CHILE SEIS SPA,AUSTRIAN,76.098.907-K,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,AVILÉS SPA,AVILS,76.762.031-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,BELLOTO SPA,BELLOTO,76.226.844-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,BELÉN SOLAR SPA,BELNSOL,76.193.054-0,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,BESALCO ENERGÍA RENOVABLE S.A.,BERS,76.404.306-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Transmisión,BESALCO TRANSMISIÓN SPA,BESALCOT,90.614.552-9,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,BESS DEL DESIERTO SPA,BESSDESI,76.719.574-5,"Sistemas BESS EMS de almacenamiento, control de inversores de batería, SCADA de potencia"
Generación,BETEL SPA,BETEL,76.232.700-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,BIO ENERGÍA LOS PINOS SPA,BELP,76.128.112-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,BIO ENERGÍA MOLINA SPA,BEM,76.416.035-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,BIOCRUZ GENERACIÓN S.A.,BGSA,90.070.651-0,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,BIOENERGÍAS FORESTALES SPA,BIOENERG,90.414.864-4,"DCS continuo para digestores kraft y calderas de cogeneración por biomasa, integración SAS"
Generación,BLU SOLAR SPA,BLUSOLAR,76.388.686-7,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,BLUE SOLAR DOCE SPA,BSD,76.322.942-4,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,BLUE SOLAR OCHO SPA,BSO,76.641.908-9,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,BLUE SOLAR UNO SPA,BSU,76.364.521-5,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,BLUEGATE ENERGÍA SPA,BLUEGATE,76.203.797-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,BOLERO SPA,BOLERO,76.952.702-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,BTG PACTUAL CHILE SPA,BTGPACTU,76.334.366-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CABRERO SOLAR SPA,CABREROS,76.819.553-6,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Cliente Libre,CALAMA SOLAR 1 SPA,CS1,90.728.806-4,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,CALAMA SOLAR 2 SPA,CS2,90.995.575-0,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,CALBUCO DE VERANO SPA,CALBUCOV,90.471.751-7,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,CALDERA SOLAR SPA,CALDERAS,90.728.647-9,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,CALLAQUI DE VERANO SPA,CALLAQUI,90.091.445-8,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,CAMPO LINDO SPA,CAMPOLIN,76.238.375-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,CANDELARIA SOLAR SPA,CANDELAR,90.436.114-3,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,CAPURATA DEL VERANO SPA,CAPURATA,90.083.543-4,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,CARBOMET ENERGÍA S.A.,CESA,76.148.628-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CARBON FREE CHILE SPA,CARBONFR,76.691.303-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Transmisión,CASABLANCA TRANSMISORA DE ENERGÍA S.A.,CTES,90.820.689-4,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,CATEMU SOLAR SPA,CATEMUSO,76.591.540-6,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,CAUCE SOLAR SPA,CAUCESOL,76.774.763-2,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Cliente Libre,CBB CALES S.A.,CCSA,91.755.000-K,"DCS para hornos rotatorios y dosificación de clínker, analizadores de gas y pesómetros"
Cliente Libre,CE CENTINELA SOLAR SPA,CCS,90.052.036-0,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,CE URIBE DE ANTOFAGASTA SOLAR SPA,CUAS,90.443.918-5,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,CEFALÚ SOLAR SPA,CEFALSO,76.090.606-9,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Cliente Libre,CEMENTO POLPAICO S.A.,CPSA,91.337.000-7,"DCS para hornos rotatorios y dosificación de clínker, analizadores de gas y pesómetros"
Cliente Libre,CEMENTOS BÍO BÍO DEL SUR S.A.,CBBS,91.755.000-K,"DCS para hornos rotatorios y dosificación de clínker, analizadores de gas y pesómetros"
Generación,CENTAURO SOLAR SPA,CENTAURO,76.332.565-2,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Transmisión,CENTELLA TRANSMISIÓN S.A.,CTSA,90.524.308-K,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,CENTRAL CARDONES S.A.,CCSA,76.527.892-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CENTRAL COLMITO S.A.,CCSA,76.312.721-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CENTRAL HIDROELÉCTRICA RÍO MULCHÉN S.A.,CHRM,76.329.010-7,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,CENTRAL HIDROELÉCTRICA SANTA ELENA S.A.,CHSE,76.795.328-3,"DCS de Central Hidroeléctrica, reguladores de velocidad de turbina, sistemas SAS de subestación"
Generación,CENTRAL YUNGAY S.A.,CYSA,76.668.607-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CERRO DOMINADOR CSP S.A.,CDCS,76.782.593-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CFC HOLDINGS SPA,CFC,76.875.476-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Distribución,CGE COMERCIALIZADORA SPA,CGECOMER,90.088.176-2,"Sistemas SCADA de Distribución, telecontrol de reconectadores y celdas de media tensión en subestaciones"
Transmisión,CGE TRANSMISIÓN S.A.,CTSA,77.465.741-K,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,CHACABUCO SOLAR SPA,CHACABUC,76.870.900-9,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,CHAPIQUINA SOLAR SPA,CHAPIQUI,76.460.550-0,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,CHEQUEN SOLAR SPA,CHEQUENS,76.574.477-6,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,CHESTER SOLAR I SPA,CSI,76.148.026-K,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,CHESTER SOLAR IV SPA,CSI,76.458.684-0,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,CHESTER SOLAR V SPA,CSV,76.079.034-6,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,CHILENER II SPA,CHILENER,76.582.321-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Transmisión,CHILQUINTA TRANSMISIÓN S.A.,CTSA,90.549.634-4,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Generación,CHRONOS SOLAR SPA,CHRONOSS,76.013.369-8,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,CHUNGUNGO S.A.,CSA,76.957.639-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CHUNGUNGO SOLAR SPA,CHUNGUNG,76.326.133-6,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,CI GMF II ARENA PROJECTCO SPA,CGIA,76.833.421-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CIA ELÉCTRICA LOS MORROS S.A.,CELM,76.787.452-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CIA MOLINERA VILLARRICA LTDA,CMV,76.130.301-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,CIA. MINERA MANTOS DE ORO,CMMO,90.872.273-6,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Generación,CINERGIA CHILE SPA,CINERGIA,76.113.572-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CIPRÉS SPA,CIPRS,76.242.897-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CLEANAIRTECH SUDAMÉRICA S.A.,CSSA,76.647.103-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,COCHARCAS SOLAR SPA,COCHARCA,76.829.475-5,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Cliente Libre,CODELCO (CORPORACIÓN NACIONAL DEL COBRE),CCNC,90.855.524-4,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Generación,COLBÚN S.A.,CSA,96.505.760-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,COMASA SPA,COMASA,76.940.314-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,COMMONPLACE ENERGY SPA,COMMONPL,76.243.967-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,COMPAÑÍA BARRICK CHILE GENERACIÓN SPA,CBG,76.866.159-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,COMPAÑÍA CONTRACTUAL MINERA CANDELARIA,CCMC,90.942.039-3,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA CONTRACTUAL MINERA OJOS DEL SALADO,CCMO,90.404.901-8,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA DOÑA INÉS DE COLLAHUASI SCM,CDIC,90.468.457-0,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA MINERA CERRO COLORADO LTDA,CMCC,90.968.977-5,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA MINERA CERRO NEGRO S.A.,CMCN,90.179.649-1,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA MINERA DEL PACÍFICO S.A.,CMPS,90.987.294-4,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA MINERA LOMAS BAYAS,CMLB,90.137.359-0,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA MINERA MARICUNGA,CMM,90.570.321-8,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA MINERA NEVADA SPA,CMN,90.042.867-7,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA MINERA TECK CARMEN DE ANDACOLLO,CMTC,90.358.811-K,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA MINERA TECK QUEBRADA BLANCA S.A.,CMTQ,90.686.505-K,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA MINERA ZALDÍVAR LTDA,CMZ,90.820.417-4,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA MINERA ZALDÍVAR SPA,CMZ,90.516.343-4,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA SCM MINERA LUMINA COPPER CHILE,CSML,90.222.691-5,"DCS de Gran Escala para plantas concentradoras, flotación, molienda SAG y subestaciones SAS"
Cliente Libre,COMPAÑÍA SIDERURGICA HUACHIPATO S.A.,CSHS,94.637.000-2,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Transmisión,COMPAÑÍA TRANSMISORA DEL NORTE GRANDE S.A.,CTNG,90.912.353-4,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Transmisión,COMPAÑÍA TRANSMISORA LA CEBADA S.A.,CTLC,90.533.364-K,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Transmisión,COMPAÑÍA TRANSMISORA NORTE S.A.,CTNS,90.442.436-6,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Transmisión,COMPAÑÍA TRANSMISORA SUR S.A.,CTSS,90.808.718-6,"Sistemas SAS (Substation Automation System), RTUs bajo protocolo IEC 61850 y telecontrol"
Cliente Libre,COMPLEJO METALÚRGICO ALTONORTE S.A.,CMAS,90.104.643-3,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,CONEJO SOLAR SPA,CONEJOSO,76.956.482-9,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,CONSORCIO SANTA MARTA S.A.,CSMS,76.465.948-1,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,COOPERATIVA DE CONSUMO DE ENERGÍA ELÉCTRICA CHILLÁN LTDA.,CCEE,90.857.410-9,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,COPEC RENOVABLES SPA,COPECREN,76.462.205-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,COPIAPÓ ENERGÍA SOLAR SPA,CES,76.265.585-3,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,COPIAPÓ SOLAR SPA,COPIAPS,76.658.288-5,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,CORCOVADO DE VERANO SPA,CORCOVAD,76.217.111-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CORSO SOLAR SPA,CORSOSOL,76.891.858-9,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,COX ENERGY COMERCIALIZADORA SPA,CEC,76.258.118-3,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CRISTALERÍAS DE CHILE S.A.,CSA,90.331.000-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CUENCA SOLAR SPA,CUENCASO,76.773.832-3,Controlador de Planta (PPC) y BESS EMS para optimización de almacenamiento y recorte
Generación,CUMBRES SPA,CUMBRES,76.321.396-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CVE PROYECTO DIECIOCHO SPA,CPD,76.235.187-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CVE PROYECTO DIECISIETE SPA,CPD,76.169.774-9,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CVE PROYECTO NUEVE SPA,CPN,76.848.082-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CVE PROYECTO OCHO SPA,CPO,76.362.329-7,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CVE PROYECTO QUINCE SPA,CPQ,76.902.186-8,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CVE PROYECTO SEIS SPA,CPS,76.137.172-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CVE PROYECTO SIETE SPA,CPS,76.674.115-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CVE PROYECTO TREINTA Y TRES SPA,CPTT,76.560.365-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CVE PROYECTO TREINTA Y UNO SPA,CPTU,76.014.964-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CVE PROYECTO VEINTIOCHO SPA,CPV,76.021.904-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CVE PROYECTO VEINTISÉIS SPA,CPV,76.832.431-K,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CVE PROYECTO VEINTIUNO SPA,CPV,76.669.940-5,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,CÓNDOR ENERGÍA SPA,CNDOREN,76.527.032-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Cliente Libre,DIEGO DE ALMAGRO SOLAR 3 S.A.,DAS3,90.285.305-7,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,DIEGO DE ALMAGRO SOLAR SPA,DAS,90.881.856-3,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Cliente Libre,DIEGO DE ALMAGRO TRANSMISORA DE ENERGÍA S.A.,DATE,90.149.433-9,"Monitoreo SCADA de consumo eléctrico, pasarelas de telemetría y modernización de PLCs legacy"
Generación,DIVISADERO SPA.,DIVISADERO,76.458.017-6,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,DON MARIANO ENERGY SPA,DME,76.795.467-0,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,DONGO ENERGÍA SPA,DONGOENE,76.727.796-2,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
Generación,DOSAL HNOS Y CIA LTDA,DHC,76.351.969-4,"Sistemas de Control de Planta (PPC), SCADA HMI e integración de telemetría hacia el CDC del CEN"
